Variables,DataType,Influencer_Cat,Variable_Type,ProcessID
tons,float,Target,Numerical,1
media_spend_value,float,Media,Numerical,1
media_lag_1,float,Media,Numerical,1
price_lag_1,float,Price,Numerical,1
incentive_applied_pop_count,float,Incentive,Numerical,1
kg_flag,bit,Incentive,Categorical,1
avg_bonus,float,Incentive,Numerical,1
incentive_applied_pop_count_lag_3,float,Incentive,Numerical,1
incentive_applied_pop_count_lagdiff_2_3,float,Incentive,Numerical,1
bonus_lag_3,float,Incentive,Numerical,1
freeitems_lag_2,float,Incentive,Numerical,1
freeitems_lagdiff_3_4,float,Incentive,Numerical,1
unit_lagdiff_3_4,float,Incentive,Numerical,1
min_con_price_per_gram,float,Price,Numerical,1
media_lag_2,float,Media,Numerical,1
price_lag_2,float,Price,Numerical,1
bonus,float,Incentive,Numerical,1
max_bonus,float,Incentive,Numerical,1
avg_freeitems,float,Incentive,Numerical,1
incentive_applied_pop_count_lag_4,float,Incentive,Numerical,1
incentive_applied_pop_count_lagdiff_3_4,float,Incentive,Numerical,1
bonus_lag_4,float,Incentive,Numerical,1
freeitems_lag_3,float,Incentive,Numerical,1
unit_lag_1,float,Incentive,Numerical,1
kg_lag_1,float,Incentive,Numerical,1
avg_con_price_per_gram,float,Price,Numerical,1
media_lag_3,float,Media,Numerical,1
price_lag_3,float,Price,Numerical,1
freeitems,float,Incentive,Numerical,1
max_freeitems,float,Incentive,Numerical,1
avg_unit,float,Incentive,Numerical,1
incentive_applied_pop_count_lagdiff_1_2,float,Incentive,Numerical,1
bonus_lag_1,float,Incentive,Numerical,1
bonus_lagdiff_1_2,float,Incentive,Numerical,1
freeitems_lag_4,float,Incentive,Numerical,1
unit_lag_2,float,Incentive,Numerical,1
kg_lag_2,float,Incentive,Numerical,1
max_con_price_per_gram,float,Price,Numerical,1
media_lag_4,float,Media,Numerical,1
price_lag_4,float,Price,Numerical,1
unit,float,Incentive,Numerical,1
max_unit,float,Incentive,Numerical,1
avg_kg,float,Incentive,Numerical,1
bonus_lag_2,float,Incentive,Numerical,1
bonus_lagdiff_2_3,float,Incentive,Numerical,1
freeitems_lagdiff_1_2,float,Incentive,Numerical,1
unit_lag_3,float,Incentive,Numerical,1
kg_lag_3,float,Incentive,Numerical,1
media_lagdiff_1_2,float,Media,Numerical,1
price_lagdiff_1_2,float,Price,Numerical,1
kg,float,Incentive,Numerical,1
max_kg,float,Incentive,Numerical,1
incentive_applied_pop_count_lag_1,float,Incentive,Numerical,1
bonus_lagdiff_3_4,float,Incentive,Numerical,1
freeitems_lagdiff_2_3,float,Incentive,Numerical,1
unit_lag_4,float,Incentive,Numerical,1
kg_lag_4,float,Incentive,Numerical,1
media_lagdiff_2_3,float,Media,Numerical,1
price_lagdiff_2_3,float,Price,Numerical,1
bonus_flag,bit,Incentive,Categorical,1
min_bonus,float,Incentive,Numerical,1
incentive_applied_pop_count_lag_2,float,Incentive,Numerical,1
freeitems_lag_1,float,Incentive,Numerical,1
min_unit,float,Incentive,Numerical,1
min_kg,float,Incentive,Numerical,1
kg_lagdiff_3_4,float,Incentive,Numerical,1
kg_lagdiff_2_3,float,Incentive,Numerical,1
freeItems_flag,bit,Incentive,Categorical,1
unit_flag,bit,Incentive,Categorical,1
